Name,"CPI,CPI - NBS structure (Core inflation, Net inflation, Regulated prices), NSA,CPI,[SK, nsa, index Dec 2000=100], SO SR","CPI,CPI - NBS structure (Core inflation, Net inflation, Regulated prices), NSA,Regulated prices,[SK, nsa, index Dec 2000=100], SO SR","CPI,CPI - NBS structure (Core inflation, Net inflation, Regulated prices), NSA,Core inflation (without Influence of indirect taxes changes in non-regulated prices),[SK, nsa, index Dec 2000=100], SO SR"
8.2003,118.920082233682,148.392110756925,107.277629671713
9.2003,119.568909556087,149.769843961093,107.731429427256
10.2003,119.723381178861,150.059465885241,107.845759200699
11.2003,119.939149797101,150.155947106682,108.086785259156
12.2003,120.134217170015,150.465732240723,108.246650326065
1.2004,125.4059413334,163.581481202676,110.351178083069
2.2004,126.3743661571,166.09688444054,110.934108085674
3.2004,126.5558810701,166.68845297721,111.013440869402
4.2004,126.5779156281,167.124233071066,110.932373302729
5.2004,127.0595901595,167.602196217583,111.302372751901
6.2004,127.3342110426,167.754076728438,111.607579567814
7.2004,127.6816637365,168.145007702764,111.944197817109
8.2004,127.5191232207,168.329245173084,111.695242961913
9.2004,127.5478314435,169.376984855879,111.470016581125
10.2004,127.6100204576,169.807737119201,111.440362540066
