"Tvorba a pouûitie dÙchodkov v sektore dom·cnostÌ v mil. EUR beûn˝ch cien"

" ";"1995Q1";"1995Q2";"1995Q3";"1995Q4";"1996Q1";"1996Q2";"1996Q3";"1996Q4";"1997Q1";"1997Q2";"1997Q3";"1997Q4";"1998Q1";"1998Q2";"1998Q3";"1998Q4";"1999Q1";"1999Q2";"1999Q3";"1999Q4";"2000Q1";"2000Q2";"2000Q3";"2000Q4";"2001Q1";"2001Q2";"2001Q3";"2001Q4";"2002Q1";"2002Q2";"2002Q3";"2002Q4";"2003Q1";"2003Q2";"2003Q3";"2003Q4";"2004Q1";"2004Q2";"2004Q3";"2004Q4";"2005Q1";"2005Q2";"2005Q3";"2005Q4";"2006Q1";"2006Q2";"2006Q3";"2006Q4";"2007Q1";"2007Q2";"2007Q3";"2007Q4";"2008Q1";"2008Q2";"2008Q3";"2008Q4";"2009Q1";"2009Q2";"2009Q3";"2009Q4";"2010Q1";"2010Q2";"2010Q3";"2010Q4";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2";"2015Q3";"2015Q4";"2016Q1";"2016Q2";"2016Q3"
"BeûnÈ prÌjmy spolu"
"  mil. EUR";"536,25";"765,85";"801,90";"889,56";"817,60";"836,82";"908,85";"971,72";"804,89";"880,40";"953,33";"1 047,17";"944,23";"934,51";"1 022,51";"1 105,13";"938,30";"961,36";"1 052,64";"1 155,24";"1 022,69";"1 061,31";"1 186,94";"1 342,02";"1 099,40";"1 194,30";"1 298,13";"1 522,08";"1 240,81";"1 360,76";"1 457,32";"1 680,93";"1 344,99";"1 432,07";"1 549,35";"1 728,74";"1 397,28";"1 528,68";"1 660,51";"1 946,69";"1 560,32";"1 688,26";"1 892,27";"2 062,73";"1 632,93";"1 842,22";"2 102,31";"2 404,20";"1 793,89";"2 016,88";"2 307,95";"2 713,69";"2 260,63";"2 334,61";"2 408,77";"2 653,33";"2 339,82";"2 285,90";"2 298,34";"2 492,18";"2 334,95";"2 430,00";"2 450,19";"2 526,38";"2 473,45";"2 511,54";"2 564,10";"2 753,60";"2 572,70";"2 670,46";"2 701,66";"2 812,96";"2 747,88";"2 663,75";"2 780,49";"2 879,77";"2 786,70";"2 915,89";"2 928,69";"3 054,11";"2 846,75";"2 966,90";"3 019,03";"3 349,39";"3 068,47";"3 193,43";"3 132,46"
"OstatnÈ beûnÈ transfery - v˝davkovÈ"
"  mil. EUR";"105,69";"83,45";"86,44";"93,37";"89,56";"119,83";"112,20";"121,36";"144,66";"126,80";"152,46";"170,35";"155,02";"134,37";"150,83";"156,08";"169,79";"141,87";"157,07";"152,19";"202,08";"131,48";"152,69";"147,35";"245,20";"168,36";"162,62";"169,06";"217,22";"189,24";"192,79";"206,90";"246,70";"237,64";"182,67";"206,63";"212,28";"259,18";"176,26";"247,73";"273,35";"309,33";"242,15";"283,28";"390,93";"410,31";"374,03";"376,88";"433,91";"421,99";"441,45";"419,74";"488,36";"512,99";"561,15";"599,99";"495,18";"538,64";"586,56";"625,16";"555,22";"584,30";"668,11";"688,74";"530,86";"557,56";"654,71";"658,94";"560,19";"615,69";"684,54";"731,64";"603,47";"659,45";"713,94";"765,02";"659,30";"688,85";"770,97";"775,02";"673,76";"716,54";"788,59";"785,56";"699,32";"738,96";"820,50"
"Hrub˝ disponibiln˝ dÙchodok"
"  mil. EUR";"2 450,30";"2 644,90";"2 799,90";"3 173,25";"3 043,43";"3 204,34";"3 120,73";"3 665,31";"3 326,91";"3 644,46";"3 533,72";"4 247,55";"3 673,29";"4 136,87";"3 871,83";"4 636,70";"4 123,21";"4 323,72";"4 253,12";"4 979,68";"4 597,06";"4 759,49";"4 677,10";"5 490,48";"4 965,27";"5 070,37";"5 124,85";"5 958,60";"5 367,13";"5 506,67";"5 602,84";"6 454,08";"5 776,08";"5 890,40";"5 976,94";"6 944,67";"6 543,00";"6 493,23";"6 594,40";"7 627,64";"6 994,59";"7 086,49";"7 156,76";"8 428,48";"7 646,44";"7 842,37";"7 962,54";"8 845,41";"8 583,44";"8 813,04";"8 883,64";"9 979,79";"9 187,54";"9 529,28";"9 974,21";"11 059,90";"9 328,49";"9 707,99";"10 147,95";"11 159,92";"9 231,15";"9 866,88";"10 324,59";"11 530,61";"9 446,34";"10 161,26";"10 442,76";"11 610,08";"9 875,39";"10 350,78";"10 651,94";"11 908,13";"10 004,39";"10 594,37";"10 794,87";"11 968,10";"10 243,92";"10 856,34";"11 134,41";"12 194,24";"10 495,45";"11 287,78";"11 589,55";"12 800,01";"10 751,21";"11 578,30";"11 931,41"
"⁄pravy vypl˝vaj˙ce zo zmeny n·roku na dÙchodok"
"  mil. EUR";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9,13";"7,37";"6,74";"7,04";"11,32";"9,89";"9,69";"11,19";"16,23";"16,00";"15,24";"16,13";"17,59";"18,59";"19,48";"23,93";"26,75";"25,83";"28,18";"21,54";"22,27";"21,34";"26,06";"29,44";"24,60";"79,90";"135,50";"163,08";"202,32";"191,30";"210,22";"269,04";"220,42";"231,77";"240,15";"251,47";"253,14";"214,68";"255,37";"263,93";"236,42";"231,19";"206,18";"204,14";"244,33";"208,65";"224,73";"226,65";"225,54";"201,07";"247,55";"211,71";"232,29";"293,28";"279,46";"196,19";"118,25";"120,87";"138,78";"113,84";"125,76";"130,18";"171,57";"140,11";"137,73";"123,49";"142,72";"158,57";"167,57";"155,46";"180,46"
"KoneËn· spotreba dom·cnostÌ"
"  mil. EUR";"2 309,54";"2 486,25";"2 522,30";"2 610,22";"2 671,17";"2 867,95";"2 883,39";"2 916,30";"3 018,96";"3 276,90";"3 232,21";"3 263,40";"3 373,05";"3 662,76";"3 681,87";"3 608,18";"3 664,55";"3 968,11";"3 994,75";"4 032,64";"4 003,83";"4 320,75";"4 393,57";"4 573,43";"4 487,01";"4 688,12";"4 892,47";"5 143,91";"4 874,57";"5 147,38";"5 294,64";"5 595,02";"5 428,74";"5 623,35";"5 781,30";"6 094,97";"6 180,49";"6 231,62";"6 482,15";"6 836,41";"6 697,31";"6 774,72";"7 056,88";"7 458,97";"7 431,54";"7 520,97";"7 878,29";"8 262,05";"8 214,38";"8 273,04";"8 713,27";"9 149,61";"9 173,31";"9 284,01";"9 715,40";"9 876,03";"9 343,32";"9 387,26";"9 657,91";"9 462,60";"9 309,18";"9 416,32";"9 862,14";"9 808,75";"9 619,87";"9 765,96";"10 151,63";"10 129,97";"10 052,76";"10 088,43";"10 426,03";"10 301,18";"10 081,12";"10 258,65";"10 434,73";"10 309,93";"10 186,59";"10 347,79";"10 520,52";"10 550,26";"10 310,03";"10 607,98";"10 776,98";"10 773,59";"10 518,65";"10 873,11";"11 001,45"
"HrubÈ ˙spory dom·cnostÌ"
"  mil. EUR";"140,76";"158,65";"277,60";"563,04";"372,27";"336,39";"237,33";"749,01";"307,95";"367,56";"301,51";"984,16";"300,23";"474,11";"189,96";"1 028,53";"467,78";"362,99";"265,11";"954,08";"604,55";"448,63";"293,22";"928,23";"494,50";"398,25";"247,62";"830,82";"510,15";"377,88";"327,69";"882,99";"374,09";"292,87";"223,82";"871,24";"384,78";"282,95";"138,30";"820,68";"321,88";"391,66";"235,38";"1 132,59";"417,22";"512,69";"294,46";"852,39";"589,48";"771,76";"410,52";"1 081,65";"267,37";"459,95";"514,18";"1 447,80";"221,60";"551,92";"696,21";"1 901,47";"166,30";"659,21";"687,18";"1 948,51";"52,01";"596,37";"538,68";"1 691,82";"54,91";"555,63";"505,37";"1 803,14";"41,52";"456,59";"498,92";"1 772,01";"183,09";"638,72";"785,46";"1 784,09";"323,15";"803,29";"955,28";"2 184,99";"400,14";"860,65";"1 110,42"

"Pozn·mky:"
"Metodika ESA 2010, podæa ötvrùroËn˝ch n·rodn˝ch ˙Ëtov"
